"","tip.label","haplotype"
"1","csw7279_VC_IS_C","N"
"2","csw7284_BC","N"
"3","csw7290_VC_IS_C","N"
"4","csw7297_VC_IS_C","N"
"5","csw8705_Clallam_Co","N"
"6","csw8708_Clallam_Co","N"
"7","csw8710_Clallam_Co","N"
"8","csw8711_Clallam_Co","N"
"9","csw8712_Clallam_Co","N"
"10","csw8713_Clallam_Co","N"
"11","kle719_Kitsap_Co","N"
"12","kle722_Kitsap_Co","N"
"13","kle723_Kitsap_Co","N"
"14","sar8249_BC_Pt_Ed","N"
"15","sar8250_BC_Pt_Ed","N"
"16","sar8253_BC_Telegraph_Pt","N"
"17","sar8268_Pt_Hardy","N"
"18","sar8270_BC_Pt_Hardy","N"
"19","sar8271_BC_Pt_Hardy","N"
"20","sar8273_BC_Pt_Hardy","N"
"21","sar8274_BC_Pt_Hardy","N"
"22","sar8275_BC_Pt_Hardy","N"
"23","sar8276_BC_Nesook_Bay","N"
"24","sar8277_BC_Nesook_Bay","N"
"25","sar8278_BC_Nesook_Bay","N"
"26","sar8279_BC_Tahsis","N"
"27","kle724_Pierce_Co","N"
"28","70575018_Homer","N"
"29","70575019_Homer","N"
"30","70575024_Homer","N"
"31","70575025_Homer","N"
"32","70575027_Homer","N"
"33","70575028_Haines","N"
"34","70575029_Haines","N"
"35","70575055_Homer","N"
"36","70575059_Homer","N"
"37","70575060_Homer","N"
"38","70575063_Homer","N"
"39","70575064_Homer","N"
"40","70575065_Homer","N"
"41","70575068_Homer","N"
"42","70575070_Homer","N"
"43","70575075_Homer","N"
"44","70575076_Homer","N"
"45","105506111_Haines","N"
"46","105506122_Juneau","N"
"47","105506123_Juneau","N"
"48","105506124_Juneau","N"
"49","105506129_Juneau","N"
"50","105506130_Juneau","N"
"51","105506133_Juneau","N"
"52","105506134_Juneau","N"
"53","105506137_Juneau","N"
"54","105506138_Juneau","N"
"55","105506141_Juneau","N"
"56","105506142_Juneau","N"
"57","105506146_Juneau","N"
"58","105506147_Juneau","N"
"59","105506150_Juneau","N"
"60","105506151_Juneau","N"
"61","105506167_Haines","N"
"62","105506168_Haines","N"
"63","CSW7268_VC_IS","N"
"64","CSW7273_VC_IS","N"
"65","csw7285_BC","N"
"66","csw7289_BC","N"
"67","CSW7291_VC_IS","N"
"68","CSW7292_VC_IS","N"
"69","csw7300_BC","N"
"70","CSW7323_VC_IS","N"
"71","CSW7325_VC_IS","N"
"72","CSW7334_VC_IS","N"
"73","csw7339_BC","N"
"74","csw7348_VC_IS","N"
"75","csw7350_VC_IS","N"
"76","sar8231_BC_Bella_Coula","N"
"77","sar8232_BC_Bella_Coula","N"
"78","sar8235_BC_Bella_Coula","N"
"79","sar8246_BC_Tel_Pt","N"
"80","sar8247_BC_Pt_Ed","N"
"81","sar8248_BC_Pt_Ed","N"
"82","sar8251_BC_Pt_Ed","N"
"83","sar8252_BC_Pt_Ed","N"
"84","sar8254_BC_KRM","N"
"85","sar8263_BC_Hope","N"
"86","sar8266_BC_Pt_Hardy","N"
"87","sar8267_BC_Pt_Hardy","N"
"88","sar8269_BC_Pt_Hardy","N"
"89","sar8272_BC_Pt_Hardy","N"
"90","csw7048","N"
"91","sez083","N"
"92","aei110","N"
"93","evl1154","N"
"94","evl1183","N"
"95","csw8450","N"
"96","cec667_Pierce_Co","A"
"97","csw7287_BC","A"
"98","csw7295_VC_IS_C","A"
"99","csw7296_VC_IS_C","A"
"100","csw7298_VC_IS_C","A"
"101","csw7303_BC","A"
"102","csw7306_BC","A"
"103","csw7311_BC","A"
"104","csw7362_BC","A"
"105","csw8704_Clallam_Co","A"
"106","csw8706_Clallam_Co","A"
"107","csw8707_Clallam_Co","A"
"108","csw8709_Clallam_Co","A"
"109","csw8714_Clallam_Co","A"
"110","csw8715_Pierce_Co","A"
"111","ejm002_King_Co","A"
"112","gws4003_Pierce_Co","A"
"113","meh29_King_Co","A"
"114","kle729_Kitsap_Co","A"
"115","kle731_Kitsap_Co","A"
"116","kle732_Kitsap_Co","A"
"117","kle733_Kitsap_Co","A"
"118","kle734_Kitsap_Co","A"
"119","kle735_Kitsap_Co","A"
"120","kle736_Kitsap_Co","A"
"121","kle737_Pierce_Co","A"
"122","kle738_Pierce_Co","A"
"123","kle739_Pierce_Co","A"
"124","kle740_King_Co","A"
"125","1847_CA","A"
"126","kle718_Kitsap_Co","A"
"127","kle720_Kitsap_Co","A"
"128","kle721_Kitsap_Co","A"
"129","csw8814_Grays_Har_Co","A"
"130","csw8815_Grays_Har_Co","A"
"131","csw8816_Grays_Har_Co","A"
"132","csw8817_Grays_Har_Co","A"
"133","csw8818_Grays_Har_Co","A"
"134","csw8819_Grays_Har_Co","A"
"135","csw8820_Grays_Har_Co","A"
"136","csw8821_Grays_Har_Co","A"
"137","csw8822_Grays_Har_Co","A"
"138","csw8823_Grays_Har_Co","A"
"139","csw8824_Grays_Har_Co","A"
"140","csw8825_Grays_Har_Co","A"
"141","sar8242_BC_Vanderhoof","A"
"142","sar8261_BC_Pavilion","A"
"143","kle725_Pierce_Co","A"
"144","kle726_S_King_Co","A"
"145","kle727_Pierce_Co","A"
"146","1858_CA","A"
"147","2063_CA","A"
"148","2156_CA","A"
"149","2170_CA","A"
"150","2171_CA","A"
"151","2175_CA","A"
"152","2176_CA","A"
"153","2177_CA","A"
"154","2179_CA","A"
"155","2180_CA","A"
"156","2181_CA","A"
"157","227423_MI","A"
"158","233637_MI","A"
"159","b22990_CA","A"
"160","BC002_ID","A"
"161","BCM3_ID","A"
"162","BCN4_ID","A"
"163","BCS1_ID","A"
"164","BCW1_ID","A"
"165","BCY2_ID","A"
"166","car003_King_Co","A"
"167","csw4779_King_Co","A"
"168","CSW5193a_Asotin","A"
"169","csw5724_Sno_Co","A"
"170","CSW7269_VC_IS","A"
"171","csw7271_BC","A"
"172","csw7280_BC","A"
"173","csw7299_BC","A"
"174","csw7301_BC","A"
"175","csw7305_BC","A"
"176","csw7314_BC","A"
"177","csw7317_BC","A"
"178","csw7318_BC","A"
"179","csw7319_BC","A"
"180","CSW7327_VC_IS","A"
"181","CSW7328_VC_IS","A"
"182","CSW7335_VC_IS","A"
"183","csw7336_VC_IS","A"
"184","csw7347_BC","A"
"185","csw7351_VC_IS","A"
"186","csw7570_King_Co","A"
"187","csw7572_King_Co","A"
"188","csw7573_King_Co","A"
"189","csw8543_Pac_Co","A"
"190","csw8544_Pac_Co","A"
"191","csw8545_Pac_Co","A"
"192","csw8546_Pac_Co","A"
"193","csw8547_Pac_Co","A"
"194","csw8548_Pac_Co","A"
"195","csw8549_Pac_Co","A"
"196","csw8550_Pac_Co","A"
"197","csw8551_Pac_Co","A"
"198","csw8552_Pac_Co","A"
"199","csw8602_Pac_Co","A"
"200","csw8603_Pac_Co","A"
"201","csw8604_Pac_Co","A"
"202","csw8605_Pac_Co","A"
"203","csw8606_Pac_Co","A"
"204","csw8607_Pac_Co","A"
"205","csw8608_Pac_Co","A"
"206","csw8609_Pac_Co","A"
"207","csw8610_Pac_Co","A"
"208","cxj001_King_Co","A"
"209","gjy002_King_Co","A"
"210","gkd23_Sno_Co","A"
"211","GKD129_NL","A"
"212","jmb960_King_Co","A"
"213","jmb1416_King_Co","A"
"214","jml017_King_Co","A"
"215","kle003","A"
"216","kle065","A"
"217","pac348_NY","A"
"218","pac1225_NY","A"
"219","pac1300_NJ","A"
"220","pac1346_NY","A"
"221","pac1347_NY","A"
"222","PLG200_Okanogan","A"
"223","prs1180_CA_Redding","A"
"224","rjr001_King_Co","A"
"225","rya82_King_Co","A"
"226","SAR7000_Asotin","A"
"227","SMB77_Okanogan","A"
"228","SMB78_Okanogan","A"
"229","SMB79_Okanogan","A"
"230","svd982_Asotin_Co","A"
"231","wss002_King_Co","A"
"232","sar8225_BC_FRB","A"
"233","sar8226_BC_Route_20","A"
"234","sar8227_BC_PLL","A"
"235","sar8228_BC_PLL","A"
"236","sar8229_BC_Bella_Coula","A"
"237","sar8230_BC_Bella_Coula","A"
"238","sar8233_BC_Bella_Coula","A"
"239","sar8234_BC_Bella_Coula","A"
"240","sar8236_BC_Bella_Coula","A"
"241","sar8237_BC_Bella_Coula","A"
"242","sar8238_BC_Bella_Coula","A"
"243","sar8239_BC_Bella_Coula","A"
"244","sar8240_BC_Alexis_Cr","A"
"245","sar8241_BC_Alexis_Cr","A"
"246","sar8243_BC_Tintagel","A"
"247","sar8244_BC_Tintagel","A"
"248","sar8245_BC_Tintagel","A"
"249","sar8255_BC_KRM","A"
"250","sar8256_BC_Smithers","A"
"251","sar8257_BC_Huston","A"
"252","sar8258_BC_Quesnel","A"
"253","sar8259_BC_Quesnel","A"
"254","sar8260_BC_Pavilion","A"
"255","sar8262_BC_Boston_Bar","A"
"256","sar8264_BC_Hatzic","A"
"257","sar8265_BC_Hatzic","A"
"258","mng174","A"
"259","sez034","A"
